All ingredients in cryoprotective solution,DMSO usage,Cooling rate,Viability,Recovery,Doubling time,Comments about method,Comments about results,Source (DOI link),Protective protein type,Protective protein concentration,Non-reducing sugar type,Non-reducing sugar concentration,PEG weight,PEG concentration,Alternative CPA type,Alternative CPA concentration,Basal medium,DMSO_pct,Ethylene_Glycol_pct,Ethylene_Glycol_mM,Propylene_Glycol_pct,Glycerol_pct,Trehalose_mM,Sucrose_mM,Glucose_mM,Mannitol_mM,Raffinose_mM,FBS_pct,FCS_pct,Human_Serum_pct,HSA_pct,BSA_pct,Albumin_pct,PVP_pct,PEG_pct,HES_pct,Dextran_pct,Ficoll_pct,Taurine_mM,Ectoine_pct,Proline_pct,Isoleucine_mM,Creatine_mM,Methylcellulose_pct,ROCKi_uM,S1P_uM,Polyampholyte_mgml,COOH_PLL_pct,Sericin_pct,Betaine_pct,cooling_min_rate_C_per_min,cooling_max_rate_C_per_min,cooling_avg_rate_C_per_min,cooling_method,cooling_controlled,Viability_numeric,Recovery_numeric
MSCs: 300 mM Ethylene glycol + 1 mM Taurine + 1% Ectoine (SEGA 10°C).,10%,"Optimal at 1°C/min.
","In 96-well plate :Not explicitly mentioned.    In vial freezing SEGA 10°C = 0.96 ± 0.02,","In 96-well(SEGA 10°C):40%, DMSO 1°C: 21%   In vial freezing SEGA 10°C = 1.03 ± 0.15",Not explicitly mentioned,"Differential Evolution (DE) Algorithm-Method Extensibility,High-throughput screening: 96-well plate ,and DMSO-free","Higher viability( in Vial freezing and good recovery)  It can be optimized by adding rate of addition and removal of cryopro-tectants, temperature of nucleation, incubation time,hold temperature and more.", https://doi.org/10.1002/term.2175,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,,0.4
1) 0.25 M trehalose in DMEM/Ham F-12,0%,"Slow freezing: cryovials kept at -80°C overnight, then transferred to liquid nitrogen (-196°C)",12.50%,"least effective in preserving functional properties (morphology, differentiation, stemness)",Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates. It takes around 14 days for them to double.,"- ASCs isolated from adipose tissue was cultured to passage 2, cryopreserved for 3 months in liquid nitrogen.
- Six CPA combinations tested using slow freezing.
- Post-thaw, cells sub-cultured to passage 3 for assays (viability via trypan blue, phenotyping, proliferation, differentiation, stemness via Real-Time PCR).
- Differentiation assessed by staining and gene expression (adipogenic, osteogenic, chondrogenic markers).","- Cryopreserved ASCs maintained fibroblast-like morphology, surface markers, and differentiation potential (adipogenic, osteogenic, chondrogenic) similar to fresh ASCs.
- 5% DMSO without FBS showed high viability, low cytotoxicity, and maintained functional properties, suggesting it as an ideal xeno-free CPA.
- Stemness markers (NANOG, OCT-4, SOX-2, REX-1) showed significantly higher expression in cryopreserved ASCs (p<0.05).
- Trehalose alone was least effective due to inability to prevent intracellular ice formation.",10.1038/srep09596,,,,,,,,,,0.0,,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.125,
2) 5% DMSO in DMEM/Ham F-12,5%,"Slow freezing: cryovials kept at -80°C overnight, then transferred to liquid nitrogen (-196°C)",71%,"maintained functional properties (morphology, differentiation, stemness) comparable to 10% DMSO + 90% FBS",Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.71,0.1
3) 10% DMSO in DMEM/Ham F-12,10%,"Slow freezing: cryovials kept at -80°C overnight, then transferred to liquid nitrogen (-196°C)",82%,"not specified individually, assumed similar to other DMSO-based solutions unless combined with FBS",Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.82,
4) 5% DMSO + 20% FBS in DMEM/Ham F-12,5%,"Slow freezing: cryovials kept at -80°C overnight, then transferred to liquid nitrogen (-196°C)",82%,"not specified individually, assumed similar to other DMSO-based solutions unless combined with FBS",Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596,,,,,,,,,,0.05,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.82,
5) 10% DMSO + 20% FBS in DMEM/Ham F-12,10%,"Slow freezing: cryovials kept at -80°C overnight, then transferred to liquid nitrogen (-196°C)",84%,"not specified individually, assumed similar to other DMSO-based solutions unless combined with FBS",Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596,,,,,,,,,,0.1,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.84,
6) 10% DMSO + 90% FBS in DMEM/Ham F-12,10%,"Slow freezing: cryovials kept at -80°C overnight, then transferred to liquid nitrogen (-196°C)",82%,"maintained functional properties (morphology, differentiation, stemness) comparable to 5% DMSO alone",Not explicitly stated; similar cell numbers from day 1 to 14 for fresh and cryopreserved ASCs suggest comparable proliferation rates,,,10.1038/srep09596,,,,,,,,,,0.1,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.82,0.05
"Dulbecco's modified eagle medium, supplemented with 10% fetal calf serum, 5% DMSO",5%,"3°C/min, 5/min, 10/min 
",66.25%,,,The cells were allowed to reach room temp so that the cryopreservant could diffuse into the cells. They were cooled down to -80C and stored in liquid nitrogen.,Standard cyropreservation procedures do not seem to be efficient for BMMeSCs. Viability assays by flow cytometry was more sensitive. Significant cell death is due to cell shrinkage and decreased nucleus to cytoplasm ratio. ,10.1016/j.transproceed.2008.03.04,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,slow_freeze,0,0.6625,
"10 µM S1P+0.05 M glucose, 0.05 M sucrose,and 1.5 M ethylene glycol(cocktail solution)((S1P→C ))",0,−1 ◦C/min from 25◦C to−80 ◦C,S1P→C (91.4 ±2.7%) copared with control ( fresh DP-MSCs)(95.6 ±0.9%),"didn't mentioned, but can get approximate prediction from percentage of early apoptotic cells(3.6 ±0.4%) and late apoptotic cells( 2.3 ±0.2%)",S1P→C (34.2 ±1.2%) compared with control (31.7 ±0.8%),"High-standard preparation, with usage of fluorescently-labeled antibodies to ensure the pluripotent property of DP-MSCs.  Different assements method were utilized to determine the desire result, such as WST-1 assay in cell morphology, Annexin V-FITC and PI in apoptosis,  trypan blue for viablity test",S1P Pre-Treatment Reduced Actin Cytoskeletal Disruption and Improved Adhesion Ability,https://doi.org/10.3390/life13061286 ,,,,,,,,,,0.0,,1500.0,,,,50.0,50.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,slow_freeze,0,0.027000000000000003,0.004
10% DMSO and 10% FBS,10%,−1 ◦C/min from 25◦C to−80 ◦C,(85.7 ±2.8%),"didn't mentioned, but can get approximate prediction from percentage of early apoptotic cells(4.4 ±1.0%) and late apoptotic cells( 3.6 ±0.4%)",(37.63 ±1.1%),,,https://doi.org/10.3390/life13061286 ,,,,,,,,,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.027999999999999997,0.01
